Proposer,Voters
,0x79f7CbfdeD32D336E8e771143773C6Ee06325886
,0xF6C62dE88Cd786dC5b979b41a6FFc2D690b4F897
,0xe76AC57Ce16Cf5dB9ec7c4Dd3206952833Db70f5
,0x374526FdaBCAca38D5E84991147d12252a66a5be
,0xFfC476634c182514e20c4D450cB26271fb038998
,0x864456925bd55Da93BD58Bf640Bc607Cf2315DF6
,0x75444a32b913f0C949D8C57d5271aac1d3cD700A
,0xf4430839e667a26fc10385BA4B754125773C9F55
,0xA9B3ca99Ba88B99d7134540281370079F24544af
,0xd2F0edfA3173AB46C17DcE9ed63201E303305Eb6
,0x65FB98565B9BcD49eb49BAF0c001305CE942a123
,0x9a0d7C592953A28AeAD4C0767Ccad8792E597B0a
,0x6f72eB88f33BA445E69a995F61fe4F72BD51850C
,0x577784dF76FD1010994bFBdcCA3F3d21D9125A4d
,0x97CC89c4465A8E0B1de35eaE959de457e0aE3768
,0xC319C0a8BB45Cbc2c8F19686a916DA009F1334f7
,0xcBE3334a82942F44D2b95F3aF3FA06eC410BCa5C
,0x9fC501C75dB5a43834da366344404B9B8675Bd84
,0x165C703209C76748b3d8e8af40c11f11cb178Ff3
,0x4E4bFa632B84a62D82026B9cCEe9b381d183Cba3
,0x9ffCE3Bd79581ABbD40C85851A4E71A6Bd256C93
,0xe8cf3644E2F28C30a28F838516EE7aA4461eA756
,0x5007358c3858A8a4b904613F7feE227936446040
,0x1634F3e9A1f7a7FCF431834C154aE68Cd7f9d8C2
,0x3640F1775d69C850D6D8f1E3BaBd81efDb811f00
,0xEaFd65EFe8c530EEA53195C327CB85eB301Ae316
,0x9D59Bb2aa7c1759d1892Ae71105c6f1b38A1854f
,0x100AEb222ACB2e07bFe7B08a35F444022e669B41
,0xFB109f2E15aBB34Db2cB8e639d9096e84cA0A79D
,0x15AF06c169c3246BAA0A3179c08478Ba3268F6f0
,0xfa612C69A739599c85Ea0090b96e941a3B2c1e50
,0x73208C133DF532f17c789fFfD0B29f448d80670a
,0x9223e5afB0333fA9f7068D6bcfb1fFF4CDA226a4
,0x671bba7fC3fb547ea4420CCf47dAed27c40850EC
,0x8064dBeb6099D01eD14285A0C8a4aac43BC6b720
,0x7DC5127C16EaA0ac40926258c2e44BED04CdFda5
,0x987423F77bdb7F0E4B9550f4D381495f944dD141
,0x1C8dfa2Dc62eB97d709EB9c850bf00Dcf31c5FAa
,0x60e489E1d4728ED759Ec81b73e6E787BFb162d8f
,0x74067cc4559829718CEfD6C41253A5dE33109c48
,0xd8BD4aD497746d9479658173BA6EB43B2b18aA36
,0x079B049F523C983D2780D97f7ec2E84f399eAAe0
,0xB3026D9F2dB5C85B62ba8c70313FB0Ad6e63702E
,0x339Df0ef917168329cd48BedC09471Dfbf5f75d5
,0xc307eA91235cFFaee36D362D066738404dc940A7
,0x0765E52931aa91D8fD4BD3e5036309d306300bE0
,0x6f1197b7C3Da02720449E636F8D645b8de3C618E
